island,survey_year,live_coral_cover_pct,lcc_change_rate,island_vs_region_pct,grp_available_substrate,grp_sand,grp_disturbance_indicators,grp_pollution_indicators,fish_butterflyfish,fish_snapper,fish_parrotfish,fish_grouper,inv_diadema_urchin,inv_crown_of_thorns,grazer_ratio,impact_anchor,impact_nets,impact_trash,impact_bleaching,impact_cot,latitude,longitude
Sibu,-1.543164828444828,-0.3568236475746853,-0.017857383911008183,-2.079906428243388,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,0.5058560126302101,0.06291908513653609,-0.11704037131742182,-0.028233954637407785,-0.011629414045945155,0.3044468765222378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04707283041873982,-0.24863777229916886
Tengah,-1.8739145615639596,-0.18811934219835957,0.22275732296712109,-0.23263008002030736,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,0.31261920877871746,0.06291908513653609,-0.19929211158171092,0.03888175771253295,-0.09954586724790943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Tinggi,-1.543164828444828,-0.3568236475746853,0.30462123894276,-2.4362799128201904,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,0.5058560126302101,0.06291908513653609,-0.1432943380315831,-0.028233954637407785,-0.09954586724790943,0.17750406969763716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Payar,-1.8739145615639596,-0.18811934219835957,0.22275732296712109,-0.23263008002030736,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,-0.2250711044061571,0.06291908513653609,-0.1432943380315831,-0.028233954637407785,-0.09954586724790943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6047838577068806
Malacca,-2.414730800652828,1.2714174215093363,-0.20047470250038563,1.1172863251939205,0.0,-0.02186672053922182,0.03668801089168005,0.3088284711481551,0.06291908513653609,-0.15844051393974293,4.276769315260472,0.27025261364628633,-0.07634965917711495,0.0,0.0,0.0,0.11138411302950832,0.0,0.0,0.0,0.04707283041873982,-0.24863777229916886
Port Dickson,-1.9562876648832164,-0.18811934219835957,0.17623701593633662,1.1299692734064328,0.0,-0.02186672053922182,0.03668801089168005,0.31261920877871746,0.06291908513653609,-0.1432943380315831,-0.08045357241036251,-0.09954586724790943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35541961774447395
Seri Buat,-1.543164828444828,-0.3568236475746853,0.30462123894276,-2.067223480030876,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,-0.03183430055466442,0.06291908513653609,-0.19929211158171092,-0.028233954637407785,-0.09954586724790943,-0.12733987608743536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Tioman,-1.9562876648832164,-0.1397510725211416,0.3684687470017366,1.1299692734064328,0.0,-0.02186672053922182,0.03668801089168005,0.31261920877871746,0.06291908513653609,-0.1432943380315831,-0.08045357241036251,-0.08791645320196428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Kapalai,-2.414730800652828,1.4557198234805964,0.12200392035338259,1.1299692734064328,0.0,0.41242237305478213,-0.01810781653452023,-0.22886184203671947,0.06291908513653609,-0.04337131528275225,-0.06903822207139738,0.46147089936055863,0.0,0.0,0.0,0.0,0.11138411302950832,0.0,0.0,0.0,0.0,0.6868893876125243
Labuan,-1.7473740651181338,1.4557198234805964,0.12200392035338259,1.094633602029651,0.0,-0.02186672053922182,-0.01810781653452023,-13.640499789756872,0.06291908513653609,-0.04337131528275225,0.010995382419060257,-0.33310526162147264,0.0,0.0,0.0,0.0,-0.24504504866491822,0.0,0.0,0.0,0.0,-0.21561245927484768
Lahad Datu,-1.8739145615639596,-0.18811934219835957,-0.09972129988664707,-0.24531302823281967,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,-0.008054136496670927,0.06291908513653609,-0.2583635366885738,-0.028233954637407785,-0.011629414045945155,0.12694280682460066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04707283041873982,0.6538640745882031
Lankayan,-1.543164828444828,-0.3568236475746853,-0.017857383911008183,-2.079906428243388,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,0.5058560126302101,0.06291908513653609,-0.11704037131742182,0.03888175771253295,-0.011629414045945155,-0.2036895352645503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15130021428145535,0.6538640745882031
Larapan,-1.543164828444828,-0.3568236475746853,0.30462123894276,-2.067223480030876,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,0.5058560126302101,0.06291908513653609,-0.19929211158171092,-0.028233954637407785,0.17958887166832715,-0.12733987608743536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6868893876125243
Mabul,-3.5110504198447616,1.3525340192426027,-0.20047470250038563,1.1172863251939205,0.0,0.0,-0.01810781653452023,0.3088284711481551,0.06291908513653609,0.9411338449246842,-0.1361539344213381,0.27025261364628633,0.12694280682460066,0.0,0.0,0.0,0.11138411302950832,-0.25860668083330507,0.0,0.0,0.04707283041873982,0.6538640745882031
Mantanani,-2.414730800652828,1.5040880931578144,0.3142356514187825,1.1299692734064328,0.0,-0.02186672053922182,0.03668801089168005,0.3088284711481551,0.06291908513653609,-0.09936908883288005,-0.08045357241036251,0.47310031340650377,0.0,0.0,0.0,0.0,-0.24504504866491822,0.0,0.0,0.0,0.0,-0.21561245927484768
Mataking,-2.414730800652828,1.4557198234805964,-0.20047470250038563,1.1172863251939205,0.0,-0.02186672053922182,0.03668801089168005,-0.22886184203671947,0.06291908513653609,-0.15844051393974293,-0.26952441958823214,-0.24518880841950835,-0.07634965917711495,0.0,0.0,0.0,0.11138411302950832,0.0,0.0,0.0,0.04707283041873982,0.6538640745882031
